# mass enclosed, CDF
3162.27766,439.00000
4248.20170,439.00000
5707.03133,439.00000
7666.82207,439.00000
10299.60366,439.00000
13836.48068,439.00000
18587.91891,439.00000
24970.99786,439.00000
33546.02186,439.00000
45065.70338,439.00000
60541.23584,439.00000
81331.05582,439.00000
109260.08611,439.00000
146779.92676,438.00000
197184.05565,438.00000
264896.92876,438.00000
355862.35731,434.00000
478065.25330,428.00000
642232.54222,412.00000
862774.76860,397.00000
1159051.04831,375.00000
1557068.40475,356.00000
2091764.65576,318.00000
2810075.24250,271.00000
3775053.20532,226.00000
5071403.95656,189.00000
6812920.69058,142.00000
9152473.10877,98.00000
12295426.26596,76.00000
16517667.43970,49.00000
22189823.41459,31.00000
29809793.96565,17.00000
40046457.31836,5.00000
53798384.03444,0.00000
72272713.20676,0.00000
97091114.68708,0.00000
130432138.67190,0.00000
175222448.04128,0.00000
235393719.75500,0.00000
