,M_V,L_V,D,rhalf_arcmin,rhalf_sph_physical,M_dynamical_wolf,sigma_vrad,sigma_vrad_err,frac_M_err,M_err
Andromeda III,-9.49,534564.3593969725,721.11,2.0,267.68,21379620.895022325,9.3,1.4,0.33621924010937326,7188239.891150885
Andromeda V,-9.3,448745.3899331332,758.58,1.6,302.5,30902954.32513592,10.5,1.1,0.24133914758273756,7458092.654616576
Andromeda IX,-8.63,242102.904673618,701.46,2.0,393.4,43651583.22401656,10.9,2.0,0.3923731613691658,17127709.70837662
Andromeda X,-7.3,71121.35136533296,630.96,1.1,175.37,6456542.290346549,6.4,1.4,0.5550230167899675,3583529.580020148
Andromeda XI,-6.38,30478.949896279893,751.62,0.6,108.85,5248074.602497723,7.6,3.4,1.0584973129465223,5555072.864886727
Andromeda XII,-6.58,36643.75746478333,717.79,1.8,223.49,,,,,
Andromeda XIV,-8.64,244343.05526939762,772.68,1.5,296.31,7585775.7502918355,5.3,1.0,0.4167270795667762,3161198.174667587
Andromeda XV,-8.37,190546.07179632483,748.17,1.3,245.39,3630780.54770101,4.0,1.4,0.7226088765962668,2623634.2527418053
Andromeda XVI,-7.47,83176.37711026726,517.61,1.0,126.3,1698243.652461746,3.8,2.9,1.5237311490093457,2587666.751863364
Andromeda XVII,-7.8,112719.74561755093,758.58,1.4,215.41,1621810.09735893,2.9,2.05,1.4792348793289756,2399038.0636612508
Andromeda XX,-6.35,29648.313895243453,741.31,0.4,72.48,3090295.432513592,7.1,3.2,1.0896430226756062,3367318.8560447297
Andromeda XXI,-8.94,322106.8791283435,772.68,4.1,730.2,24547089.156850286,6.1,0.95,0.36035328685190954,8845624.26031787
Andromeda XXII,-6.39,30760.96814740705,755.09,0.9,119.68,812830.5161640996,2.8,1.65,1.2861293087385852,1045405.1498757608
Andromeda XXIII,-9.76,685488.226452662,744.73,5.4,895.73,38018939.632056125,6.8,1.4,0.4240755218440071,16122901.664420005
Andromeda XXIV,-7.62,95499.25860214369,608.14,2.6,402.8,,,,,
Andromeda XXV,-9.08,366437.5746478333,751.62,2.7,561.55,7079457.843841373,3.7,1.15,0.635032843731089,4495688.246648951
Andromeda XXVI,-5.98,21086.28149933293,787.05,1.0,164.68,10232929.922807537,8.6,2.5,0.9205123867485099,9419538.746673811
Andromeda XXVIII,-8.51,216770.41048196962,744.73,1.38,227.23,5011872.336272725,4.9,1.6,0.6605956102120237,3310820.864284842
Andromeda XXIX,-8.17,158489.3192461114,711.21,1.39,241.87,7244359.600749906,5.7,1.2,0.4312566931533625,3124178.565433218
Cassiopeia II,-7.74,106659.6121230259,559.76,1.5,182.4,22908676.52767775,11.8,6.2,1.0848730768713561,24853006.391632374
IC 10,-14.93,80167806.3387679,769.13,2.65,533.6,,,,,
Lacerta I,-11.21,2606153.5499988976,744.73,3.13,520.47,51286138.39913648,10.3,0.9,0.17156689191842966,8799003.363638274
LGS 3,-9.61,597035.2865838367,605.34,2.1,329.55,19054607.17963248,7.9,4.1,1.0549029668939653,20100761.646793358
NGC 147,-14.83,73113908.34834187,734.51,3.17,520.25,123026877.0812381,16.0,1.0,0.12552743217294288,15443247.968264095
NGC 185,-14.86,75162289.40182045,648.63,2.55,443.58,234422881.53199178,24.0,1.0,0.1026136290047194,24054982.595741093
Pegasus V,-6.3,28313.91995799379,691.83,0.4,79.15,,,,,
Pegasus VII,-5.7,16292.960326397248,751.62,0.8,120.61,,,,,
Perseus I,-8.87,301995.1720402019,704.69,1.4,272.22,4677351.412871981,4.2,3.9000000000000004,1.727404231128027,8079676.621067716
Cetus,-11.19,2558585.886905648,755.09,3.2,574.47,36307805.4770101,8.3,1.0,0.24133914758273756,8762494.824421467
IC 1613,-15.12,95499258.60214369,731.14,7.57,1439.78,154881661.89124796,10.8,0.95,0.18525033175737113,28691879.248486668
Leo A,-12.11,5970352.865838366,797.99,2.3,405.75,30199517.20402019,9.0,0.7,0.16187975836857726,4888690.54783448
Leo K,-4.73,6668.067692136226,434.51,0.6367,61.68,,,,,
Leo M,-5.77,17378.00828749376,459.2,0.9967,83.08,,,,,
Leo T,-7.98,133045.44179780927,413.05,1.39,155.06,7943282.347242822,7.5,1.6,0.46611080852550024,3702449.7572196852
Phoenix,-9.87,758577.5750291835,409.26,2.43,241.99,19498445.997580454,9.3,0.7,0.1485077916472529,2895671.15565389
