,M_V,L_V,D,rhalf_arcmin,rhalf_sph_physical,M_dynamical_wolf,sigma_vrad,sigma_vrad_err,frac_M_err,M_err,n_stars
Ursa Major I,-5.14,9727.472237769642,97.27,8.31,150.14,6760829.753919818,7.0,0.8743177135092265,0.24980506100263614,1688889.4891063776,50.0
Ursa Major II,-4.42,5011.872336272725,34.67,13.8,92.06,3801893.9632056127,6.7,0.48968457629392526,0.14617450038624635,555739.9505930665,214.0
Ursa Minor,-8.86,299226.4636608189,70.15,18.3,250.41,17378008.28749376,8.6,0.14079387997562617,0.03274276278502934,569004.0030336822,2582.0
Willman 1,-2.53,879.0225168308842,38.02,2.51,19.98,288403.15031266055,4.0,1.0451173984323632,0.5225586992161816,150707.5750772328,28.0
Andromeda I,-11.35,2964831.3895243453,776.25,3.9,746.65,72443596.00749905,10.2,0.47090919753547916,0.0923351367716626,6689089.345583496,418.0
Andromeda II,-11.72,4168693.8347033635,666.81,5.3,941.57,53703179.63702533,7.8,0.2719451971526255,0.06972953773144244,3744697.890798389,858.0
Andromeda III,-9.49,534564.3593969725,721.11,2.0,267.68,21379620.895022325,9.3,1.0684811011046813,0.22978088195799595,4912628.145185829,73.0
Andromeda V,-9.3,448745.3899331332,758.58,1.6,302.5,30902954.32513592,10.5,1.163861593168661,0.22168792250831637,6850811.743708772,66.0
Andromeda IX,-8.63,242102.904673618,701.46,2.0,393.4,43651583.22401656,10.9,1.5809886346386721,0.29008965773186646,12662872.836909048,38.0
Andromeda X,-7.3,71121.35136533296,630.96,1.1,175.37,6456542.290346549,6.4,1.7062870667488037,0.5332147083590011,3442723.314354692,19.0
Andromeda XI,-6.38,30478.949896279893,751.62,0.6,108.85,5248074.602497723,7.6,5.244104553095353,1.3800275139724614,7242487.346826946,3.0
Andromeda XII,-6.58,36643.75746478333,717.79,1.8,223.49,,,,,,8.0
Andromeda XIV,-8.64,244343.05526939762,772.68,1.5,296.31,7585775.7502918355,5.3,1.371987874999855,0.5177312735848509,3927393.3403276703,28.0
Andromeda XV,-8.37,190546.07179632483,748.17,1.3,245.39,3630780.54770101,4.0,1.3233243164305006,0.6616621582152503,2402350.093197799,25.0
Andromeda XVI,-7.47,83176.37711026726,517.61,1.0,126.3,1698243.652461746,3.8,1.1408995633837278,0.6004734544124883,1019750.232427786,19.0
Andromeda XVII,-7.8,112719.74561755093,758.58,1.4,215.41,1621810.09735893,2.9,1.8085086868485383,1.2472473702403712,2022798.3789602057,18.0
Andromeda XX,-6.35,29648.313895243453,741.31,0.4,72.48,3090295.432513592,7.1,4.773496063568247,1.344646778469929,4155355.797849737,3.0
Andromeda XXI,-8.94,322106.8791283435,772.68,4.1,730.2,24547089.156850286,6.1,1.092907388898813,0.3583302914422338,8795965.61163266,48.0
Andromeda XXII,-6.39,30760.96814740705,755.09,0.9,119.68,812830.5161640996,2.8,14.423144551334097,10.302246108095785,8373980.0216930825,1.0
Andromeda XXIII,-9.76,685488.226452662,744.73,5.4,895.73,38018939.632056125,6.8,0.7956963698010832,0.2340283440591421,8897509.484974584,94.0
Andromeda XXIV,-7.62,95499.25860214369,608.14,2.6,402.8,,,,,,27.0
Andromeda XXV,-9.08,366437.5746478333,751.62,2.7,561.55,7079457.843841373,3.7,0.9301194563477051,0.5027672737014622,3559319.7194325593,55.0
Andromeda XXVI,-5.98,21086.28149933293,787.05,1.0,164.68,10232929.922807537,8.6,7.9063927844005075,1.8386959963722111,18815247.28022362,1.0
Andromeda XXVIII,-8.51,216770.41048196962,744.73,1.38,227.23,5011872.336272725,4.9,1.344341258093774,0.5487107175892955,2750068.0661021457,31.0
Andromeda XXIX,-8.17,158489.3192461114,711.21,1.39,241.87,7244359.600749906,5.7,1.485359027192285,0.5211786060323806,3775605.23831613,25.0
Cassiopeia II,-7.74,106659.6121230259,559.76,1.5,182.4,22908676.52767775,11.8,1.7246240766237615,0.2923091655294511,6696416.119189605,34.0
IC 10,-14.93,80167806.3387679,769.13,2.65,533.6,,,,,,21.0
Lacerta I,-11.21,2606153.5499988976,744.73,3.13,520.47,51286138.39913648,10.3,0.4811826405261963,0.09343352243227113,4791844.56258028,381.0
LGS 3,-9.61,597035.2865838367,605.34,2.1,329.55,19054607.17963248,7.9,0.7007538105077642,0.17740602797664914,3380402.17439394,129.0
NGC 147,-14.83,73113908.34834187,734.51,3.17,520.25,123026877.0812381,16.0,2.2796346115828645,0.28495432644785806,35057040.89366763,26.0
NGC 185,-14.86,75162289.40182045,648.63,2.55,443.58,234422881.53199178,24.0,4.146818704634408,0.3455682253862007,81009099.16092996,17.0
Pegasus V,-6.3,28313.91995799379,691.83,0.4,79.15,,,,,,5.0
Pegasus VII,-5.7,16292.960326397248,751.62,0.8,120.61,,,,,,1.0
Perseus I,-8.87,301995.1720402019,704.69,1.4,272.22,4677351.412871981,4.2,1.0697769847135479,0.5094176117683561,2382725.186146591,38.0
Cetus,-11.19,2558585.886905648,755.09,3.2,574.47,36307805.4770101,8.3,0.44156800832957943,0.10640192971797094,3863220.566578589,378.0
IC 1613,-15.12,95499258.60214369,731.14,7.57,1439.78,154881661.89124796,10.8,0.6889994741679127,0.12759249521628013,19761737.703948572,138.0
Leo A,-12.11,5970352.865838366,797.99,2.3,405.75,30199517.20402019,9.0,0.3221236167682591,0.07158302594850202,2161772.8236476104,780.0
Leo K,-4.73,6668.067692136226,434.51,0.6367,61.68,,,,,,2.0
Leo M,-5.77,17378.00828749376,459.2,0.9967,83.08,,,,,,4.0
Leo T,-7.98,133045.44179780927,413.05,1.39,155.06,7943282.347242822,7.5,0.8627428376609141,0.2300647567095771,1827469.3206938982,63.0
Phoenix,-9.87,758577.5750291835,409.26,2.43,241.99,19498445.997580454,9.3,0.40574166893225033,0.08725627288865598,1701361.7248696021,424.0
