# r_half [kpc], M_enc(r_half) [M_sun], M_200 [M_sun], concentration
0.03815,3245733.72824,160622634.95641,165.44629
0.06055,3759729.00445,112171694.66784,124.68376
0.46417,38540136.04225,1859864345.85021,20.43977
0.02669,2360817.95744,192854852.11665,185.33984
0.03030,1168916.27616,115369042.69980,113.78849
0.01220,293798.45715,124880157.01833,128.10878
0.07302,11331901.71873,222704735.64016,192.36509
0.03734,1768496.84528,122981593.78046,117.56476
0.26325,20438210.10399,4375942815.72544,20.27084
0.11959,19247060.80618,294471035.86410,150.76499
0.07498,12933415.61150,317050827.25850,174.59464
0.02236,758986.55767,105151474.07028,123.79118
0.05647,8673525.37834,291766499.39345,179.98402
0.02543,1745116.53351,172663258.79304,163.66400
0.03490,1531069.77373,107610129.67371,119.91802
0.25900,23710281.40825,20207260066.44551,15.32977
0.04690,2598126.85869,141637554.27036,113.96482
0.08050,7698685.97565,208185554.73629,123.43958
0.06721,5606815.20628,856091765.76888,71.77260
0.08794,4188107.42338,104259951.23909,89.53745
0.04936,2431097.62777,104991281.66959,114.21707
0.03703,4946153.74312,367256498.58908,174.22847
0.01550,697514.78224,670334756.23983,111.71330
0.08063,5840871.57942,106414511.94332,135.20025
0.07077,6977548.26188,139774306.19940,162.13897
0.02687,829358.21806,109127050.52082,104.77305
0.12915,30104894.75071,463473509.95260,164.40166
0.07531,11033976.14852,400471451.23261,135.56818
0.08600,1714249.65849,7074426062.79352,14.14659
0.04501,6136246.97546,254116067.87607,187.96194
0.08666,18183672.35297,408207709.32833,175.93153
0.01730,671714.70483,204713299.92420,128.00395
0.05406,3558326.38714,921010410.92186,67.05905
0.02881,1830054.63270,190322064.92500,141.73276
0.02460,1072691.38858,161072188.26417,123.72497
0.06488,8728682.83185,194126264.85888,186.72130
0.02723,2476648.15882,285959090.22650,164.90264
0.09169,18070308.71323,324276374.08458,185.50829
0.03844,3361218.98178,219363349.43218,149.87027
0.07192,5496627.00858,163563714.39633,118.06646
0.04070,1992472.06377,125766996.52803,115.13357
0.02713,1319263.55331,133479352.64798,134.93388
0.05506,8338918.34936,464168717.17447,148.59575
0.14431,9768981.45297,107550444.75180,110.96579
0.04404,2439224.89771,103729549.82962,132.08779
0.04406,3606159.47344,182634669.90213,144.00793
0.23157,19604008.73056,126124854.19877,129.19359
0.02631,936669.13342,112643070.66823,115.83304
0.05661,10173047.40193,305822489.11352,201.41627
0.05690,3263655.64360,112169686.06299,119.17280
0.08904,7758098.26101,146815715.30473,131.54563
