# r_half [kpc], M_enc(r_half) [M_sun], M_200 [M_sun], concentration
0.02287,750391.26722,166264572.46659,104.96657
0.06162,1590212.84797,179724279.15992,52.36197
0.05446,1901318.29059,179399840.49827,69.35390
0.04988,1944140.58190,128888611.91583,87.68369
0.08727,3541516.77478,344870894.62593,49.63920
0.04215,949936.13627,101221300.17898,68.76490
0.29921,22433471.58601,8050860565.20409,15.45416
0.03665,924825.02322,129587973.54818,74.09907
0.05947,2613884.95014,190791833.62353,77.20852
0.05055,704171.72350,647741348.05965,27.30965
0.01581,223503.27665,165027577.20470,74.33327
0.05833,2440239.86980,144195839.49346,82.81976
0.05599,1987476.67616,246428659.43197,62.68475
0.15465,3905048.77335,2040000761.59709,15.50674
0.07960,2568945.13021,130203702.00426,61.07503
0.01549,193526.31849,217352665.83777,65.25430
0.08895,1528050.47515,3079188110.73530,15.24045
0.03096,717656.77948,270424069.05808,62.56367
0.03927,236560.72926,2032650190.81688,14.06031
0.14173,6618422.05341,422447208.41449,40.43929
0.22459,8561872.62880,112921009.83946,51.44055
0.03989,213314.66381,704812882.98475,16.42486
0.02643,566705.65267,178707573.40264,72.02772
0.01688,76653.73777,836486941.37115,24.42364
0.18647,7119160.01715,763891030.42669,24.68718
0.03692,344168.16788,573045887.08041,26.10151
0.12967,2656414.92324,1139990992.77672,17.39647
0.04769,548094.55691,673434093.30234,24.68699
0.06406,2229028.89901,118947860.62544,73.89625
0.03312,335562.46680,489785115.14480,30.50802
0.08769,3091493.98064,140349077.23160,60.98008
0.03410,217320.93813,3190725106.74734,14.44786
0.03657,1342602.11485,159396310.67885,90.68053
0.18705,10169993.32076,465894843.19676,38.48974
0.09984,4641683.46727,213007247.33181,61.16357
0.16773,4334447.79620,5225072316.05455,11.75474
0.05084,1525545.90494,115971907.39889,74.05813
0.03016,133219.83561,867098571.51070,16.48895
0.09614,4078541.87561,178328651.14007,61.91593
0.05192,2168015.85787,175473552.70237,81.50373
0.03709,1135237.49475,110822498.84773,88.64539
0.15118,6041506.95266,533644263.61345,32.09869
0.08300,977601.79114,2065533863.30619,13.55023
0.04310,1705748.50769,191976888.17214,83.29500
0.07054,920925.60897,1313901727.99122,17.99078
0.02752,611102.88126,188786843.08054,71.09187
0.15659,8083438.88936,378314024.80252,43.45441
0.02836,125915.20229,1047562189.87056,16.48756
0.07154,1816293.19080,433906530.71590,37.01842
0.04069,1127236.21043,117606629.59244,77.42362
0.05703,2114605.41994,129086609.78024,79.37522
0.18311,6093467.50495,4443119274.43382,13.83625
0.20302,7042072.01856,4170589948.32448,13.55676
0.13673,6932933.49465,229186511.76914,55.71677
0.04714,984538.59014,117375654.54380,58.81337
0.07843,3947283.01393,171713486.51260,78.79692
0.01982,289501.77645,206663089.04149,63.46908
0.14821,8461664.24353,433799842.75463,45.89983
0.03213,851009.51420,169097167.42873,75.92181
0.02266,115798.89496,2642605490.05875,16.97895
0.04681,605901.83607,473588629.74682,29.37971
0.07673,3538890.13810,263645031.16259,63.52397
0.05002,1103037.21204,131053866.82531,57.34530
0.07744,1588046.18760,602070197.84373,28.01540
0.03922,471815.69242,470329784.65453,31.14909
0.03962,499291.00251,293617069.26505,35.77635
0.04246,1155440.51995,219130895.54874,62.19248
0.02625,464538.18852,150948908.56010,66.56053
0.06563,2524039.36249,135675181.20609,75.27462
0.03048,505833.63825,101280849.79442,65.53991
0.04028,1000649.42866,118464746.56376,71.82420
0.35011,32700310.15224,72080296115.40076,9.25502
0.03424,1132700.99284,114700773.10625,96.34354
0.06669,2365588.01408,104985007.02334,77.35348
0.18882,6689604.57080,100044686.83867,53.81732
