# r_half [kpc], M_enc(r_half) [M_sun], M_200 [M_sun], concentration
0.22358,6361906.57614,828048248.26241,17.40313
0.02496,566340.14948,132207827.49985,83.50726
0.05726,469764.16499,1122706581.32774,15.57693
0.20816,9056251.96560,1633726887.14738,20.29537
0.03661,864242.40535,165568358.16233,65.97986
0.10604,5485236.46505,163171389.66993,72.90491
0.07347,773027.52795,960622371.58737,16.33782
0.03281,1144331.20048,170040269.93258,90.53517
0.09441,5729306.65822,189636787.90362,81.84871
0.37522,30537321.01900,7385423666.57968,14.59615
0.18963,5307465.62803,1314964508.88840,16.56599
0.04768,2287823.92387,233129906.60245,85.61686
0.08825,2150505.45787,585707605.80203,29.45884
0.06731,1210810.52371,686381814.63332,26.92301
0.22949,14999566.15929,294212388.06472,51.00758
0.04883,1620154.23686,152401116.28766,74.28786
0.04192,1249567.88470,165072260.84103,72.40319
0.09719,4895616.35729,297502227.35159,58.22478
0.05215,2430598.33655,113460780.20029,103.57515
0.03808,763151.75550,100367550.13991,66.75484
0.13178,3488808.46719,590984200.53094,24.77951
0.04582,983599.71398,392368153.74886,43.54030
0.23562,12088293.05652,11558521443.59408,12.50024
0.03427,769569.77239,190975526.43294,63.52652
0.03459,725023.37327,301816273.81285,53.58975
0.20783,12208232.51990,296597080.86975,47.67911
0.13884,5280024.14827,413222003.76826,35.17281
0.05111,1326477.27892,163566066.69592,59.53113
0.04888,1756496.34113,243018975.07206,68.02815
0.20152,8458683.22213,409775290.86826,31.59830
0.03503,1107229.20308,132938841.51491,88.10703
0.03723,990321.38476,208390887.06448,66.53444
0.02964,547131.79247,105428294.39771,70.72541
0.04785,1349389.57942,188545232.36827,62.56652
0.03174,688787.33616,194216549.08488,64.39476
0.03280,960823.37264,262367608.26589,71.32583
0.07177,2222298.64646,346689637.11045,45.19585
0.04362,1876702.86820,178728016.86989,89.94181
0.07472,734386.73266,1336380896.38796,14.23369
0.17072,4310718.48076,596354797.51075,20.58048
0.07369,1675684.54361,20427021261.03056,13.37825
0.09890,4803644.54870,336571819.97827,53.77782
0.08795,3526381.15420,136167380.96396,68.47516
0.07798,1314688.35160,1147201467.51006,20.76466
0.02569,593580.74458,175582884.98801,77.18246
0.05543,518714.07579,1891211461.72027,15.37237
0.02493,336643.91136,125054645.20331,60.14462
0.02619,496134.47339,120258672.62571,74.04958
0.03667,1137193.05242,137091610.00555,84.17649
0.03301,657660.02168,116264935.52981,68.52167
0.03131,766502.71304,187405774.68536,70.95667
0.07185,778164.73514,665277632.77209,18.49816
0.03986,1115615.47943,237639525.74616,64.08010
0.03901,1085787.99058,127325820.53783,77.36134
0.04422,1157480.78195,123590932.26102,70.23259
0.02084,227249.71487,138378170.47280,56.36057
0.03697,1226297.62515,211313148.43892,77.30998
0.09262,4920449.79828,147783776.43504,82.17144
0.03615,1040800.82635,205945964.64609,71.53014
0.04202,1597156.55399,230713774.12230,77.56493
0.03751,782886.35272,149147255.02488,61.67994
0.09793,3116663.05005,100935035.06077,61.20902
0.06326,2343950.51315,182793101.44781,66.96945
0.07246,3075640.00641,146876495.83024,75.59398
0.09675,4660521.88004,274387259.09788,58.03410
0.04305,1724729.95108,133783654.12872,94.53176
0.01674,190315.58046,112179193.10703,68.81336
0.06950,2844125.46776,101270679.05004,86.79723
0.14602,2939647.40510,915305877.51487,16.94201
0.03720,869992.13514,317969795.34066,54.60247
0.06881,2715838.31649,176372693.18194,68.34200
0.05478,683381.99178,5730192470.12581,14.53406
0.05985,2095635.43374,201151416.71987,63.95428
0.04430,1354842.87108,141584669.12746,75.18733
0.04628,1097869.45081,234119108.93903,53.09705
0.03060,695687.27435,163178596.32155,70.97660
0.03256,422289.83676,540269543.12974,35.32315
0.05330,997118.02078,463637520.31078,34.95155
0.04050,1085008.39452,110899038.60450,77.17313
0.01303,63477.17002,393479310.50983,35.21519
0.05679,799564.11218,977494898.37893,23.23054
0.10594,4934333.84695,267445405.31549,54.69992
0.03466,694187.43272,129129421.75324,65.07278
0.02558,450175.76455,174748704.00043,64.78457
0.04820,1901968.62830,213842176.57752,76.08417
0.04155,1361341.28767,139307398.70847,81.94583
0.32144,24194666.77434,476898342.57941,40.22717
0.03241,745259.01388,144480379.98575,71.77351
0.04634,942544.57910,121573388.12336,57.59560
0.04847,455231.28583,820410240.90937,20.40721
0.03851,792991.15986,124130351.52418,63.52436
0.17724,10145684.76972,103574882.99095,90.99950
0.09539,1345276.61193,1263392112.92680,15.82867
0.04601,1966069.41404,166492743.68288,89.30380
0.02129,167683.61899,481834360.46733,33.95065
0.08116,3302682.81304,104558799.85126,80.17738
0.06677,1021702.05178,553162557.38720,25.60751
0.19807,13696899.49499,225957320.91430,65.36452
0.06057,1640125.88229,466921465.34831,41.60085
0.13542,6162080.74815,160289565.38751,59.76878
0.07447,3295822.85396,144612130.20395,77.72656
0.05928,2156105.98792,252889051.23310,61.46945
0.11123,2653803.28763,638685161.03226,24.81195
0.16960,9099187.22165,110704917.75666,81.04567
0.02965,626019.92727,154258796.76372,69.71251
0.04031,1044236.11448,207802451.95646,62.71534
0.10118,4998813.94004,147063471.19174,74.75656
0.06579,1647460.73787,152290889.59329,52.21965
0.12045,3931868.69808,497408420.10552,31.91228
0.26142,9196887.50469,2368225799.53667,13.60389
0.14470,2578512.86610,647332364.11678,17.17340
0.02985,735209.54743,192447670.51624,72.55211
0.03330,623428.86801,171046820.79609,58.81245
0.06813,943187.56076,2977700723.15264,15.75636
0.01513,111845.44841,290315026.97539,44.68790
0.04968,1112493.93046,127193405.68548,58.72006
0.03595,1101143.46852,233037232.77612,72.28778
0.04238,1002455.27923,291019888.19814,52.40892
0.03214,589048.83886,160336629.98966,60.13210
0.02347,389895.72864,216320838.14337,62.05263
0.18187,4712338.29324,2281204309.53460,13.84117
0.04593,1638189.14129,164009426.61073,78.76093
0.06709,1706417.83777,102986792.06841,59.78752
0.08650,4607336.33679,257745519.41997,67.58794
0.02779,549826.43895,137455058.23451,71.25226
0.16008,6141237.65399,791544196.26300,26.66924
0.04976,1651435.00407,216275605.99891,66.01541
0.02603,399557.83564,276608398.76459,52.43579
0.04717,1251412.46287,213912738.96098,58.22612
0.07336,2759694.98634,101129621.16571,79.21359
0.02931,702390.28689,171249831.85428,74.24056
0.05471,1141357.21181,309914161.89166,41.14984
0.03142,562587.52227,120146539.18809,64.77839
0.01944,326807.06171,114741521.60919,81.15350
0.06052,838310.18389,410619899.41291,27.36482
0.16197,10561076.89656,194173665.57356,71.35403
0.01314,127657.00192,126981914.58299,69.20393
0.05532,1668837.79404,108690183.35104,73.11265
0.07809,3709982.00489,225532837.63473,68.05894
0.11095,4783393.95184,145794199.52245,64.31626
0.08180,3322917.92273,149920706.43957,68.68372
0.03044,771782.58203,217563981.34083,70.85927
0.03466,710599.91200,332049271.26054,51.51561
0.05411,1342888.13777,255370928.24951,49.17114
0.02556,139051.69218,928949689.53213,20.68850
0.05866,1415921.91790,110757646.25368,59.72400
0.09360,5074079.12023,125292712.43745,90.07709
0.02383,285196.53876,224140570.34365,49.41006
0.01691,263944.56692,105272468.10855,85.18569
0.03383,630150.35883,113775754.59305,65.00233
0.03370,213704.26463,744557537.99622,20.20744
0.05581,1501302.70155,123286897.14988,63.97531
0.07512,5118175.96207,110383621.74324,127.37795
0.05677,1380618.56409,101348543.54493,62.87496
0.04760,1297044.56337,272048943.08838,55.16402
0.05251,1914208.37893,245285872.09967,66.07485
0.01661,208200.40522,133524107.50954,70.51440
0.03311,680435.14155,134867819.00490,67.01481
0.02202,494769.08614,173310132.92238,82.53342
0.05787,744179.82080,974609914.57658,21.63475
0.07745,4376362.59664,227212773.76480,77.95054
0.15567,5881494.43133,393114948.45792,33.57212
0.04547,1772321.29090,206953663.47819,78.42316
0.06222,1596428.98689,166263573.46736,53.16164
0.01408,112950.89618,125531913.40612,59.20080
0.04364,693811.98525,490051884.35900,34.75938
0.07552,1202411.84061,9064469653.62271,12.47542
0.04603,1640900.66925,203717828.94298,73.51455
0.10950,3317724.32316,431323407.77885,33.24146
0.01434,125591.60053,259325155.82148,52.54339
0.02984,714512.59972,190307180.16482,71.44739
0.02820,464617.63656,311648667.98483,50.96580
0.06799,1653459.07072,320348609.49523,40.19767
0.05889,2326483.23715,134018108.66289,81.04977
0.04156,1135388.83532,127779976.28059,73.90342
0.03956,898860.07592,103190102.38279,70.96523
0.11163,4206645.57445,114743361.25735,63.57915
0.06668,2473766.09274,168739153.36965,67.19268
0.03240,769976.84394,255227622.18478,62.97511
0.15636,6608866.28776,112804205.88621,63.56971
0.09106,4389597.31808,304575548.91171,57.58806
0.05787,1973381.81606,108980711.14534,78.63037
0.02746,385375.30295,187769817.18020,52.78742
0.07942,3238927.11276,162223268.24502,67.70033
0.04454,1328035.27802,208666923.70040,65.50715
0.05203,1770605.28699,113923077.86448,81.06228
0.18188,11496690.69599,157696255.78708,75.69858
0.10150,4578912.06561,137281053.93584,71.16301
0.02959,573101.26255,115172082.78282,71.34510
0.07833,1413794.73740,972544708.24743,22.58567
0.01924,168879.34783,118845726.11382,53.20594
0.03879,514269.41726,560449452.96233,32.03661
0.07059,2432591.26922,353742296.80849,48.87045
0.21852,7991650.01513,2355051597.14694,15.67125
0.01395,198501.63127,151639228.97954,81.59034
0.03132,970580.27172,113889361.16709,96.24731
0.02377,410029.97704,161413596.05737,67.88131
0.04007,665932.25859,407109924.46228,39.32884
0.05725,2301297.18274,216338317.03671,70.58999
0.04089,1045638.41350,205920724.92282,61.87098
0.12636,6266558.83194,195005882.23242,60.57758
0.08358,3893534.10359,228645476.12815,64.64532
0.02025,252640.34532,110549293.28212,66.01338
0.02213,279573.92162,255597015.04839,51.73670
0.03043,708910.43163,133246966.23041,76.50992
0.11321,2215541.97397,828554839.15510,19.91378
0.06325,1935161.17068,143555892.75703,62.99836
0.04642,1012911.50759,347141810.95493,45.09295
0.03712,973241.83621,172471337.71431,69.57172
0.06240,2277511.64615,117403138.31646,77.99612
0.10513,4841284.66167,223020701.61998,58.26899
0.02158,283680.48634,260531997.39833,53.56192
0.09999,3771746.99832,170871837.58279,56.26659
0.07650,1086138.75600,2201838815.76136,15.98124
0.09749,4616451.91219,174041637.93288,68.02530
0.06791,2199096.19873,257378477.06053,52.49695
0.08078,3690882.00502,110280250.95594,86.67008
0.10102,2417365.14626,545314489.16616,27.45957
0.12489,5038886.80642,100648325.44240,69.41155
0.03309,842370.37858,119269988.32598,80.46597
0.02415,452118.75176,144046679.23754,73.10929
0.04121,330334.89657,829674105.26478,20.28025
0.14580,4368290.89156,3811800887.67702,15.45792
0.08060,4741926.98271,161992322.07958,90.81569
0.03523,1141849.40685,149503659.15484,86.26830
0.04512,627794.48366,379127662.78306,33.25083
0.08911,3011891.80109,454127501.01202,39.57133
0.02547,644628.14465,139713341.95313,87.56274
0.07378,3435019.45377,311697058.72231,61.66983
0.02466,122395.36901,734711439.49467,21.00221
0.04645,1517684.32474,223478508.05389,66.97542
0.03980,1348259.80626,232110383.79412,73.51137
0.04472,2330346.59702,165091187.89539,105.09937
0.02418,398097.28730,104952618.00849,72.95597
0.04358,843968.65522,363525253.64588,42.65367
0.11108,5037749.30187,354502732.75490,47.38628
0.12152,4865152.81160,114162928.82048,65.22649
0.05649,3462926.25328,143582175.65235,113.75112
0.07895,1071871.25437,1238360962.06918,17.46208
0.06151,2453691.13239,111611052.97537,85.88497
0.03594,823760.20626,118571179.31548,71.86387
0.09084,2020106.33168,508328039.58395,28.25991
0.05958,1826837.76220,108325611.37407,71.62679
0.01957,230654.06277,118096887.73707,63.78230
0.02102,237922.37424,114974041.53927,60.13185
0.03144,535808.82144,121609497.94193,62.41469
0.14143,6459369.91418,476109425.64156,38.18668
0.08330,893543.38032,1419156678.10031,13.88423
0.02642,522505.06895,143646961.13315,72.32141
0.08578,1541491.56900,780366416.76275,22.53723
0.03353,844314.67329,131927779.75746,77.02616
0.11523,2153283.98280,883979543.58180,18.75006
0.05140,1166641.10513,107069705.40273,61.56483
0.05392,1831377.21906,134330147.11480,75.17202
0.15292,11480946.81292,173661880.02179,89.18594
0.08127,3593492.50308,178701408.96401,68.86500
